Stat	*ID	Save Bits	Save Add
item_maxdamage_percent	17	10	0
item_mindamage_percent	18	10	0
mindamage	21	7	0
maxdamage	22	8	0
secondary_mindamage	23	7	0
secondary_maxdamage	24	8	0
maxmagicresist	38	7	50
maxfireresist	40	7	50
maxlightresist	42	7	50
maxcoldresist	44	7	50
maxpoisonresist	46	7	50
firemindam	48	9	0
firemaxdam	49	10	0
lightmaxdam	51	11	0
coldmindam	54	9	0
coldmaxdam	55	10	0
item_fasterattackrate	93	8	100
item_fastercastrate	105	8	100
item_singleskill	107	5	0
item_poisonlengthresist	110	8	100
item_healafterdemonkill	139	9	0
