Stat	*ID	Save Bits	Save Add
item_maxdamage_percent	17	9	0
item_mindamage_percent	18	9	0
mindamage	21	6	0
maxdamage	22	7	0
secondary_mindamage	23	6	0
secondary_maxdamage	24	7	0
maxmagicresist	38	5	0
maxfireresist	40	5	0
maxlightresist	42	5	0
maxcoldresist	44	5	0
maxpoisonresist	46	5	0
firemindam	48	8	0
firemaxdam	49	9	0
lightmaxdam	51	10	0
coldmindam	54	8	0
coldmaxdam	55	9	0
item_fasterattackrate	93	7	20
item_fastercastrate	105	7	20
item_singleskill	107	3	0
item_poisonlengthresist	110	8	20
item_healafterdemonkill	139	7	0
